celltype,additional_annotations,level_7_cluster,hemisphere,skid
MB-FBN,FB2N-19,66,right_id,13210358
pre-DN-SEZ,no official annotation,66,right_id,8951591
DN-SEZ,no official annotation,66,right_id,6317793
pre-DN-SEZ,no official annotation,66,right_id,15048530
DN-VNC,no official annotation,66,right_id,3620633
MB-FBN,FB2N-15,66,right_id,9287906
pre-DN-SEZ,no official annotation,67,right_id,15607335
pre-DN-VNC,no official annotation,67,right_id,3158085
pre-DN-SEZ,no official annotation,67,right_id,10768709
MB-FFN,FFN-28,67,right_id,16751955
MB-FBN,FB2N-1,67,right_id,11528017
PN-somato,mechano-II/III 2nd_order PN,67,right_id,3793760
pre-DN-VNC,no official annotation,67,right_id,3276003
pre-DN-SEZ,no official annotation,67,right_id,17384874
pre-DN-SEZ,no official annotation,67,right_id,11356523
pre-DN-VNC,no official annotation,68,right_id,16347476
pre-DN-VNC,no official annotation,68,right_id,10986253
DN-VNC,_telegoro-1,68,right_id,3764792
DN-VNC,no official annotation,68,right_id,19010160
DN-VNC,no official annotation,68,right_id,7587948
pre-DN-VNC,no official annotation,68,right_id,8592501
DN-VNC,no official annotation,68,right_id,17658978
pre-DN-SEZ,no official annotation,68,right_id,12990900
DN-VNC,no official annotation,68,right_id,6446394
pre-DN-VNC,no official annotation,68,right_id,13167730
MB-FBN,FB2N-13,69,right_id,4337398
DN-SEZ,no official annotation,69,right_id,12962772
pre-DN-SEZ,no official annotation,69,right_id,5326407
MB-FFN,FFN-9,69,right_id,4665627
pre-DN-VNC,no official annotation,69,right_id,4228105
pre-DN-VNC,PL-24,69,right_id,17083341
MB-FFN,FFN-1,69,right_id,10612630
PN-somato,FFN-8; proprio 2nd_order PN,69,right_id,4201020
MB-FBN,FBN-20,69,right_id,4190567
MB-FBN,FB2N-10; proprio 2nd_order PN,69,right_id,4201555
PN-somato,proprio 2nd_order PN,69,right_id,17336347
CN,no official annotation,69,right_id,10339991
MB-FFN,FFN-41,69,right_id,4234016
CN,PL-8,69,right_id,15662776
CN,no official annotation,69,right_id,8318813
pre-DN-VNC,no official annotation,69,right_id,4227880
MB-FBN,FB2N-14,69,right_id,4152272
pre-DN-VNC,no official annotation,70,right_id,2659504
DN-SEZ,no official annotation,70,right_id,17379360
ascending,unknown modality,70,right_id,13775497
DN-SEZ,no official annotation,70,right_id,16316973
DN-VNC,no official annotation,70,right_id,17543765
DN-VNC,no official annotation,70,right_id,17587730
pre-DN-VNC,no official annotation,70,right_id,17654973
pre-DN-VNC,no official annotation,70,right_id,11891098
DN-VNC,no official annotation,70,right_id,17587726
PN-somato,proprio 2nd_order PN,70,right_id,19989037
pre-DN-VNC,no official annotation,70,right_id,13242252
DN-VNC,no official annotation,70,right_id,1065967
DN-VNC,no official annotation,70,right_id,12030078
pre-DN-VNC,no official annotation,70,right_id,5898284
pre-DN-VNC,no official annotation,70,right_id,5730322
pre-DN-VNC,no official annotation,70,right_id,14756440
pre-DN-SEZ,no official annotation,70,right_id,1805418
pre-DN-VNC,no official annotation,70,right_id,17297936
pre-DN-VNC,PL-16,70,right_id,17654991
pre-DN-VNC,no official annotation,70,right_id,17660233
DN-VNC,no official annotation,70,right_id,17378648
DN-VNC,no official annotation,70,right_id,17379298
pre-DN-VNC,no official annotation,70,right_id,17937991
pre-DN-VNC,no official annotation,70,right_id,2504517
DN-VNC,no official annotation,70,right_id,16115255
pre-DN-VNC,PL-15,70,right_id,17655000
pre-DN-VNC,no official annotation,70,right_id,17658602
pre-DN-VNC,no official annotation,70,right_id,20479904
pre-DN-VNC,no official annotation,70,right_id,17654967
pre-DN-VNC,no official annotation,70,right_id,13137623
DN-VNC,no official annotation,70,right_id,16347786
pre-DN-VNC,no official annotation,70,right_id,19167389
DN-VNC,no official annotation,70,right_id,15560623
pre-DN-VNC,no official annotation,70,right_id,12422355
pre-DN-VNC,no official annotation,70,right_id,18302931
DN-VNC,no official annotation,71,right_id,13763548
pre-DN-SEZ,no official annotation,71,right_id,17813001
DN-SEZ,no official annotation,71,right_id,17324711
DN-VNC,no official annotation,71,right_id,14034206
pre-DN-SEZ,no official annotation,71,right_id,17850822
pre-DN-VNC,no official annotation,71,right_id,14755393
DN-VNC,no official annotation,71,right_id,13081886
pre-DN-VNC,no official annotation,71,right_id,19048289
PN-somato,noci 2nd_order PN,71,right_id,8826198
pre-DN-VNC,no official annotation,71,right_id,15672269
pre-DN-VNC,no official annotation,71,right_id,13948718
pre-DN-VNC,no official annotation,71,right_id,1805669
DN-SEZ,no official annotation,71,right_id,5993001
PN-somato,noci 2nd_order PN,71,right_id,20443598
pre-DN-VNC,no official annotation,71,right_id,17658948
pre-DN-SEZ,no official annotation,71,right_id,12422147
DN-SEZ,no official annotation,71,right_id,13645610
DN-VNC,no official annotation,71,right_id,17537254
DN-VNC,no official annotation,71,right_id,7982307
pre-DN-SEZ,no official annotation,71,right_id,17328632
pre-DN-VNC,no official annotation,71,right_id,9753494
DN-SEZ,no official annotation,71,right_id,5996485
pre-DN-VNC,no official annotation,71,right_id,18133444
pre-DN-SEZ,no official annotation,71,right_id,13953184
pre-DN-VNC,no official annotation,71,right_id,20443571
pre-DN-SEZ,no official annotation,71,right_id,17328580
pre-DN-VNC,no official annotation,71,right_id,9177218
pre-DN-VNC,no official annotation,71,right_id,17937986
pre-DN-VNC,no official annotation,71,right_id,10870424
DN-VNC,no official annotation,71,right_id,16154290
DN-SEZ,no official annotation,71,right_id,17304269
pre-DN-VNC,no official annotation,71,right_id,16617920
DN-VNC,no official annotation,71,right_id,5010581
pre-DN-SEZ,no official annotation,71,right_id,17990556
DN-SEZ,no official annotation,71,right_id,9234420
pre-DN-VNC,no official annotation,71,right_id,3010486
PN-somato,proprio 2nd_order PN,72,right_id,17340973
pre-DN-VNC,no official annotation,72,right_id,9085808
ascending,proprio,72,right_id,14938436
pre-DN-SEZ,no official annotation,72,right_id,6653450
pre-DN-VNC,no official annotation,72,right_id,15018449
ascending,proprio,72,right_id,13774384
PN-somato,proprio 2nd_order PN,72,right_id,2505266
PN-somato,proprio 2nd_order PN,72,right_id,6182848
ascending,proprio,72,right_id,15556861
PN-somato,PL-3; proprio 2nd_order PN,72,right_id,9037152
LN,FB2N-6,73,right_id,19271710
pre-DN-VNC,no official annotation,73,right_id,9116228
pre-DN-VNC,no official annotation,73,right_id,3765735
DN-SEZ,no official annotation,73,right_id,3027876
pre-DN-VNC,no official annotation,73,right_id,14753815
LN,FB2N-11,73,right_id,6597872
DN-SEZ,no official annotation,73,right_id,16195633
MB-FFN,FFN-24,73,right_id,10351681
pre-DN-VNC,no official annotation,73,right_id,8572353
LN,FB2N-18,73,right_id,17176781
pre-DN-VNC,no official annotation,73,right_id,14756061
pre-DN-VNC,no official annotation,73,right_id,8566140
pre-DN-VNC,no official annotation,74,right_id,19156025
pre-DN-VNC,no official annotation,74,right_id,10276161
MB-FBN,CN-31; FBN-26; noci 2nd_order PN,74,right_id,17854345
MBIN,OAN-g1,74,right_id,12805363
CN,no official annotation,74,right_id,19786464
CN,no official annotation,74,right_id,14495367
LHN,CN-39,74,right_id,9015568
pre-DN-VNC,no official annotation,74,right_id,2650887
PN-somato,FFN-27; noci 2nd_order PN,74,right_id,11361875
pre-DN-VNC,no official annotation,74,right_id,12031406
MB-FBN,FAN-9,74,right_id,16987409
CN,no official annotation,74,right_id,8184598
pre-DN-VNC,no official annotation,74,right_id,6193472
CN,no official annotation,74,right_id,11102156
pre-DN-VNC,no official annotation,74,right_id,16350988
pre-DN-SEZ,no official annotation,74,right_id,17867309
MB-FBN,CN-13; FBN-6,75,right_id,15480928
MB-FBN,FBN-16,75,right_id,14077615
MB-FBN,FB2N-7,75,right_id,4103336
MB-FBN,CN-21; FBN-4,75,right_id,12704069
MB-FBN,CN-38; FAN-6,75,right_id,5738449
CN,no official annotation,75,right_id,4214582
MB-FBN,CN-12; FBN-8,75,right_id,11889676
LN,CN-20,75,right_id,7065182
MB-FBN,FB2N-16,75,right_id,8814922
MB-FFN,FFN-7,75,right_id,6300434
MB-FBN,FBN-23,75,right_id,7980369
MB-FBN,CN-19; FBN-9,75,right_id,14083681
CN,no official annotation,76,right_id,14214039
PN,respiratory 2nd_order PN,76,right_id,8370111
CN,CN-22,76,right_id,4411542
MB-FBN,FB2N-8,76,right_id,15488316
MB-FFN,FFN-23,76,right_id,18098174
CN,no official annotation,76,right_id,17813006
CN,no official annotation,76,right_id,13953546
LHN,no official annotation,76,right_id,17166682
MB-FBN,FB2N-2,76,right_id,14077179
pre-DN-SEZ,no official annotation,76,right_id,15590555
DN-VNC,no official annotation,77,right_id,15548844
pre-DN-VNC,no official annotation,77,right_id,15481779
pre-DN-VNC,no official annotation,77,right_id,8127390
MB-FFN,FFN-15,77,right_id,14127447
pre-DN-VNC,no official annotation,77,right_id,13411445
pre-DN-VNC,CN-34,77,right_id,14680483
MB-FFN,FFN-6,77,right_id,17176819
pre-DN-VNC,no official annotation,77,right_id,14754777
LHN,no official annotation,77,right_id,8981761
pre-DN-VNC,no official annotation,78,right_id,9077224
pre-DN-VNC,no official annotation,78,right_id,12474815
pre-DN-VNC,no official annotation,78,right_id,16913476
CN,no official annotation,78,right_id,17330632
pre-DN-VNC,no official annotation,78,right_id,16340011
pre-DN-VNC,no official annotation,78,right_id,4876839
pre-DN-VNC,no official annotation,78,right_id,5935744
PN-somato,noci 2nd_order PN,78,right_id,16347283
DN-SEZ,no official annotation,78,right_id,18232369
MB-FFN,FFN-25,78,right_id,8007556
PN-somato,noci 2nd_order PN,78,right_id,10079731
pre-DN-VNC,no official annotation,78,right_id,19090042
pre-DN-VNC,no official annotation,78,right_id,17355864
pre-DN-VNC,no official annotation,78,right_id,14656798
pre-DN-VNC,no official annotation,78,right_id,13564607
pre-DN-VNC,no official annotation,78,right_id,9604434
pre-DN-VNC,no official annotation,78,right_id,14374534
DN-SEZ,no official annotation,78,right_id,13764822
pre-DN-VNC,no official annotation,78,right_id,9034378
pre-DN-VNC,no official annotation,78,right_id,8709865
pre-DN-VNC,no official annotation,78,right_id,14492880
pre-DN-VNC,no official annotation,78,right_id,16340461
pre-DN-VNC,no official annotation,78,right_id,10367190
MB-FBN,FBN-7,79,right_id,4617479
MB-FBN,FBN-5,79,right_id,7594047
MB-FBN,FB2N-3,79,right_id,4411688
MB-FBN,FAN-5,79,right_id,9848760
PN,FB2N-12; gustatory-pharyngeal 2nd_order PN,79,right_id,20443457
CN,no official annotation,79,right_id,5669107
MB-FBN,FB2N-21,79,right_id,17784367
CN,no official annotation,79,right_id,16405545
CN,no official annotation,80,right_id,15618614
MB-FFN,FFN-35,80,right_id,17435678
pre-DN-VNC,no official annotation,80,right_id,4847079
DN-VNC,no official annotation,80,right_id,7590264
pre-DN-VNC,no official annotation,80,right_id,13835439
PN,gustatory-external 2nd_order PN,80,right_id,8995807
pre-DN-SEZ,no official annotation,80,right_id,15732485
DN-VNC,no official annotation,80,right_id,2669844
pre-DN-VNC,no official annotation,80,right_id,5936935
pre-DN-VNC,no official annotation,80,right_id,17755491
MB-FBN,FAN-8,81,right_id,4199033
pre-DN-SEZ,no official annotation,81,right_id,14334367
CN,CN-41,81,right_id,6611100
MB-FBN,FBN-21,81,right_id,8792477
PN-somato,noci 2nd_order PN,81,right_id,17913199
MB-FBN,FB2N-5,81,right_id,8019816
MB-FBN,FAN-10,81,right_id,9103732
MB-FBN,FBN-19,81,right_id,5934511
MBON,MBON-m1; CN-62,82,right_id,4022539
MB-FBN,CN-32; FBN-10,82,right_id,6290724
MB-FBN,CN-33; FAN-7,82,right_id,16699958
MBON,MBON-p1; CN-61,82,right_id,16178283
MB-FBN,CN-37; FBN-2,82,right_id,16691937
CN,CN-24,82,right_id,7980189
DN-VNC,no official annotation,83,right_id,5500958
RGN,no official annotation,83,right_id,2283495
RGN,no official annotation,83,right_id,15202263
DN-SEZ,no official annotation,83,right_id,11639192
RGN,no official annotation,83,right_id,2852273
DN-SEZ,no official annotation,83,right_id,17352470
DN-SEZ,no official annotation,83,right_id,3414508
RGN,no official annotation,83,right_id,2659386
RGN,no official annotation,83,right_id,13793212
RGN,no official annotation,83,right_id,3561724
DN-SEZ,no official annotation,83,right_id,6554358
RGN,no official annotation,83,right_id,5869204
DN-SEZ,no official annotation,83,right_id,3436420
sensory,gut,83,right_id,2340336
RGN,no official annotation,83,right_id,2357110
DN-VNC,no official annotation,83,right_id,7569260
RGN,no official annotation,83,right_id,2355126
sensory,gut,83,right_id,2456826
RGN,no official annotation,83,right_id,13535380
pre-DN-VNC,no official annotation,84,right_id,16651566
pre-DN-VNC,PL-18,84,right_id,9067063
pre-DN-VNC,no official annotation,84,right_id,9532295
pre-DN-VNC,no official annotation,84,right_id,15823055
pre-DN-VNC,no official annotation,84,right_id,17466463
pre-DN-VNC,no official annotation,84,right_id,5859372
pre-DN-VNC,no official annotation,84,right_id,17356024
pre-DN-VNC,no official annotation,84,right_id,15800115
DN-VNC,no official annotation,84,right_id,15894278
DN-VNC,no official annotation,84,right_id,5319633
DN-VNC,no official annotation,84,right_id,17647621
pre-DN-VNC,no official annotation,84,right_id,4173633
pre-DN-VNC,no official annotation,84,right_id,16924423
PN-somato,mechano-Ch 2nd_order PN; proprio 2nd_order PN,84,right_id,17031293
pre-DN-VNC,no official annotation,84,right_id,5895651
pre-DN-VNC,no official annotation,84,right_id,15732497
pre-DN-VNC,no official annotation,84,right_id,9068346
DN-VNC,no official annotation,85,right_id,16388736
pre-DN-VNC,no official annotation,85,right_id,18545747
pre-DN-VNC,PL-22,85,right_id,16671014
pre-DN-VNC,no official annotation,85,right_id,17897230
pre-DN-VNC,no official annotation,85,right_id,16852421
pre-DN-VNC,no official annotation,85,right_id,9091922
pre-DN-VNC,no official annotation,85,right_id,5805651
pre-DN-VNC,PL-21,85,right_id,4591713
PN-somato,proprio 2nd_order PN,85,right_id,11362589
pre-DN-VNC,PL-23,85,right_id,16578252
pre-DN-VNC,no official annotation,85,right_id,17435815
DN-VNC,no official annotation,85,right_id,18464581
pre-DN-VNC,no official annotation,85,right_id,9519425
pre-DN-VNC,PL-20,85,right_id,16934932
pre-DN-VNC,no official annotation,85,right_id,5164129
pre-DN-VNC,no official annotation,85,right_id,8271875
CN,no official annotation,85,right_id,15474790
pre-DN-VNC,no official annotation,85,right_id,6190181
pre-DN-VNC,no official annotation,85,right_id,4311241
pre-DN-VNC,no official annotation,85,right_id,17380319
CN,PL-12,85,right_id,12935696
pre-DN-VNC,no official annotation,85,right_id,5893912
pre-DN-VNC,no official annotation,85,right_id,8710444
pre-DN-SEZ,no official annotation,85,right_id,17535542
pre-DN-VNC,no official annotation,85,right_id,11362334
pre-DN-VNC,no official annotation,85,right_id,6188181
PN-somato,noci 2nd_order PN,85,right_id,9051500
pre-DN-VNC,no official annotation,85,right_id,16709072
pre-DN-VNC,no official annotation,85,right_id,16540741
pre-DN-VNC,no official annotation,85,right_id,16471422
DN-VNC,no official annotation,85,right_id,13557064
pre-DN-SEZ,no official annotation,86,right_id,17247877
pre-DN-VNC,no official annotation,86,right_id,4127096
DN-VNC,no official annotation,86,right_id,18604097
pre-DN-VNC,no official annotation,86,right_id,19092010
pre-DN-VNC,no official annotation,86,right_id,15155348
DN-VNC,no official annotation,86,right_id,13760954
DN-VNC,no official annotation,86,right_id,15934458
pre-DN-VNC,no official annotation,86,right_id,20443362
pre-DN-VNC,no official annotation,86,right_id,15589738
pre-DN-VNC,no official annotation,86,right_id,5162462
DN-VNC,PL-19,86,right_id,13652117
DN-VNC,no official annotation,86,right_id,14039007
DN-VNC,no official annotation,86,right_id,19190681
ascending,unknown modality,86,right_id,3571478
DN-SEZ,no official annotation,86,right_id,17380345
pre-DN-VNC,no official annotation,87,right_id,5786898
DN-VNC,no official annotation,87,right_id,6156152
pre-DN-VNC,no official annotation,87,right_id,5856647
MB-FBN,FBN-22,87,right_id,16856539
pre-DN-VNC,no official annotation,87,right_id,4188325
pre-DN-VNC,no official annotation,87,right_id,15706875
pre-DN-VNC,no official annotation,87,right_id,4917442
pre-DN-VNC,no official annotation,87,right_id,4017464
pre-DN-VNC,no official annotation,87,right_id,17173852
pre-DN-VNC,no official annotation,87,right_id,15732503
MB-FFN,FFN-26,87,right_id,15478720
MB-FBN,FBN-25,87,right_id,7574701
PN-somato,noci 2nd_order PN,87,right_id,17173922
MB-FBN,FBN-24,87,right_id,4180774
pre-DN-VNC,no official annotation,87,right_id,15732509
DN-VNC,no official annotation,87,right_id,5052370
pre-DN-VNC,no official annotation,87,right_id,13675374
DN-VNC,no official annotation,87,right_id,16950798
PN-somato,proprio 2nd_order PN,87,right_id,4849988
DN-VNC,no official annotation,87,right_id,12474164
pre-DN-VNC,no official annotation,87,right_id,6609380
pre-DN-VNC,no official annotation,87,right_id,5790355
MB-FBN,FBN-27,87,right_id,4144377
pre-DN-VNC,no official annotation,87,right_id,16947349
pre-DN-VNC,no official annotation,87,right_id,13722900
DN-VNC,no official annotation,88,right_id,17877682
pre-DN-VNC,no official annotation,88,right_id,5167842
DN-VNC,no official annotation,88,right_id,14588375
DN-VNC,no official annotation,88,right_id,17656886
DN-VNC,no official annotation,88,right_id,5995125
DN-VNC,no official annotation,88,right_id,13646473
DN-SEZ,no official annotation,88,right_id,13007383
DN-SEZ,no official annotation,88,right_id,17587734
DN-VNC,no official annotation,88,right_id,15672263
DN-VNC,no official annotation,88,right_id,15964206
DN-VNC,no official annotation,88,right_id,17589475
ascending,noci,88,right_id,7124156
DN-VNC,no official annotation,88,right_id,17025508
MB-FFN,FFN-36,88,right_id,4507955
ascending,proprio,88,right_id,14913093
LN,no official annotation,88,right_id,9521722
DN-VNC,no official annotation,88,right_id,17639824
DN-VNC,no official annotation,88,right_id,6154200
DN-VNC,no official annotation,88,right_id,5900426
DN-SEZ,no official annotation,88,right_id,12026822
DN-VNC,no official annotation,89,right_id,16950767
DN-VNC,no official annotation,89,right_id,6154921
LN,no official annotation,89,right_id,16561429
pre-DN-VNC,no official annotation,89,right_id,16355225
DN-SEZ,no official annotation,89,right_id,2648254
pre-DN-VNC,no official annotation,89,right_id,17663944
PN-somato,proprio 2nd_order PN,89,right_id,4185530
pre-DN-VNC,no official annotation,89,right_id,4390116
DN-VNC,no official annotation,89,right_id,16950443
DN-VNC,no official annotation,89,right_id,6155577
DN-VNC,no official annotation,89,right_id,20911955
pre-DN-VNC,no official annotation,89,right_id,15674282
pre-DN-VNC,no official annotation,89,right_id,5816138
DN-SEZ,no official annotation,89,right_id,13842372
DN-VNC,no official annotation,89,right_id,6700147
DN-VNC,no official annotation,89,right_id,17654514
pre-DN-VNC,no official annotation,89,right_id,17380309
pre-DN-VNC,no official annotation,89,right_id,18080008
pre-DN-VNC,no official annotation,89,right_id,19950281
DN-VNC,no official annotation,89,right_id,20911961
pre-DN-VNC,no official annotation,89,right_id,4142619
DN-SEZ,no official annotation,89,right_id,17654519
pre-DN-VNC,no official annotation,89,right_id,5782947
MB-FBN,FBN-11,90,right_id,9057043
DN-VNC,no official annotation,91,right_id,5794678
pre-DN-VNC,no official annotation,91,right_id,16910799
DN-VNC,no official annotation,91,right_id,13727202
CN,no official annotation,91,right_id,13836327
pre-DN-VNC,PL-13,91,right_id,17357979
MB-FBN,FB2N-20,91,right_id,18084995
pre-DN-VNC,no official annotation,91,right_id,9069084
DN-VNC,no official annotation,91,right_id,15894178
DN-VNC,no official annotation,91,right_id,16520950
pre-DN-VNC,no official annotation,91,right_id,17323054
DN-VNC,no official annotation,91,right_id,16950550
pre-DN-VNC,no official annotation,91,right_id,9068024
DN-SEZ,no official annotation,91,right_id,6702943
pre-DN-SEZ,no official annotation,91,right_id,6610913
DN-VNC,no official annotation,91,right_id,16950354
pre-DN-VNC,no official annotation,92,right_id,8161142
DN-VNC,no official annotation,92,right_id,16339338
pre-DN-VNC,no official annotation,92,right_id,9097065
DN-VNC,no official annotation,92,right_id,8496618
DN-VNC,no official annotation,92,right_id,6153877
pre-DN-VNC,no official annotation,92,right_id,8161148
pre-DN-VNC,no official annotation,92,right_id,15467736
MB-FFN,FFN-38,no cluster,right_id,8790590
sensory,gustatory-pharyngeal,no cluster,right_id,15542199
sensory,gustatory-pharyngeal,no cluster,right_id,8199012
sensory,gustatory-external,no cluster,right_id,15629888
sensory,gustatory-pharyngeal,no cluster,right_id,15594038
sensory,gustatory-external,no cluster,right_id,4044654
sensory,gustatory-pharyngeal,no cluster,right_id,15508475
sensory,gustatory-pharyngeal,no cluster,right_id,15605657
