root_id,cell_type
720575940646086196,NA
720575940626088229,TmY3
720575940605280614,TmY9
720575940646932100,TmY5a
720575940611340334,R1-6
720575940635566840,CB2212
720575940627369237,T5d
720575940628795377,Tm5c
720575940633777247,T5d
720575940629559570,Tm1
720575940628932328,TmY18
720575940606095532,R7
720575940620736704,T4d
720575940618728705,NA
720575940655234977,Dm6
720575940620157249,CB2320
720575940612100374,NA
720575940618721968,NA
720575940620062110,C3
720575940649870713,Tm6
720575940609013769,R8
720575940636886598,CB2867
720575940629385594,T4a
720575940626248837,L5
720575940632603423,Mi2
720575940632007860,T4c
720575940620393643,NA
720575940614848977,Tm4
720575940622200090,T4d
720575940617596884,NA
720575940612125914,Tm9
720575940625087527,CB2308
720575940645067316,T2a
720575940621391087,T2a
720575940620894913,T4c
720575940617604820,T5a
720575940629765138,CB2893
720575940620672609,T4c
720575940623235848,NA
720575940641392080,TmY18
720575940636304503,NA
720575940635171947,Tm4
720575940632623456,Tm5a
720575940632202819,TmY14
720575940625811518,T5d
720575940612229861,Dm10
720575940614459390,Tm2
720575940625120812,Tm2
720575940629880108,T4b
720575940609366574,Pm1
720575940618270599,NA
720575940625943827,T1
720575940641278965,DNpe071
720575940639743310,T4c
720575940613908338,CB3864
720575940622556184,Y3
720575940628401173,R1-6
720575940628245865,T3
720575940629034583,CB1680
720575940629597169,L4
720575940627428106,Tm6
720575940618253528,T5c
720575940621716833,R1-6
720575940609504324,Tm12
720575940616743749,NA
720575940618067227,Dm3
720575940615255446,T4c
720575940633002978,TmY4
720575940619265963,T4c
720575940620760029,T4c
720575940640082766,R1-6
720575940613462579,T4d
720575940653003254,Mi15
720575940629632759,L5
720575940619041620,Pm1
720575940615393703,Dm2
720575940617967773,T4c
720575940640869720,NA
720575940627119119,Tm1
720575940639839733,CB1469
720575940621773551,NA
720575940613017059,KCapbp-ap2
720575940628126696,CB3851
720575940630559350,NA
720575940643345096,T1
720575940645277207,T5b
720575940603942944,NA
720575940642611419,Mi4
720575940614532146,NA
720575940630250087,Tm20
720575940628095484,T5a
720575940623685341,CB0642
720575940619283510,T3
720575940630146668,Mi1
720575940624934844,CB1577
720575940648188548,DNge189
720575940619965643,T3
720575940623153546,T5d
720575940620804267,Tm4
720575940631432697,NA
720575940616393053,LC10a
720575940624558263,Lawf2
