root_id,cell_type,x,y,z
720575940629573648,R1-6,827420,75,151.2
720575940630889527,R1-6,808504,69.22,54.6
720575940612871386,R1-6,847118,124.91,124.8
720575940623865624,R8,834428,439.72,80.6
720575940619727262,R1-6,825376,267.08,84.4
720575940621973942,R1-6,826540,363.5,48.6
720575940618844189,R1-6,851396,290.36,142.4
720575940625363529,R1-6,818976,286.18,89.6
720575940644705736,R1-6,866752,423.98,265.4
720575940615189758,R1-6,863584,437.38,263.6
720575940659591297,R8,845788,247.7,220.6
720575940629752067,R1-6,824932,132.22,110.4
720575940605861804,R1-6,876344,164.18,393
720575940612733553,R1-6,822392,186.22,82
720575940615199143,R8,827944,165.62,278
720575940633387309,R1-6,862052,212,269.8
720575940620414800,R1-6,864344,53.16,271.6
720575940626862654,R1-6,813908,468.46,69.2
720575940624836937,R8,832614.6666666666,304.74,339.6
720575940621820086,R1-6,861652,511.06,293
720575940621520110,R1-6,879364,252.66,448
720575940626956837,R8,794124,368.82,184.8
720575940620979476,R1-6,865140,286.32,422.8
720575940618165597,R1-6,828448,30.69,128.1
720575940626486576,R1-6,873172,123.86,389.6
720575940645671732,R1-6,873220,104.08,272.4
720575940609479179,R8,813692,32.94,379.2
720575940645434148,R1-6,851656,426.76,37.6
720575940613621014,R1-6,842336,174.34,218.2
720575940615847786,R1-6,812084,380.3,59.6
720575940615179774,R1-6,817120,114.68,120.8
720575940629622607,R7,830548,92.07,294.2
720575940629315371,R8,817932,8.18,356.4
720575940632646457,R1-6,800808,491.94,53.6
720575940627927429,R1-6,852248,471.66,350.6
720575940633014599,R1-6,841172,329.88,96.8
720575940628431176,R1-6,827032,428.42,40.6
720575940631163715,R1-6,822272,213.82,54.2
720575940628443947,R1-6,883460,150.6,431.8
720575940618758429,R1-6,863348,376.62,187.8
720575940636262030,R1-6,845008,374.84,20.8
720575940611501688,R1-6,858112,107.66,235.4
720575940618186555,R7,837576,409.28,205.8
720575940625137405,R7,814196,343.2,239.2
720575940627275537,R1-6,849792,393.4,66
720575940633541165,R8,837120,190.38,424.2
720575940626209613,R1-6,872700,275.48,255.6
