root_id,cell_type,x,y,z,PC1,PC2,x_axis,y_axis
720575940618817108,R1-6,863488,334836,111240,272974.65576556604,-707421.0931992605,419.75349167979874,166.80400281978606
720575940628972999,R1-6,828528,333408,93440,275275.0937198439,-670521.0809762424,427.6056532304005,355.73206540163875
720575940634355682,R7,837792,284896,133440,222634.53142521405,-700377.1525150986,247.92586726473064,202.86897912269532
720575940624488595,R7,802996,346344,97720,289152.8647788898,-657576.356571081,474.97511177861054,422.0090543560654
720575940632864327,R1-6,859168,348316,116880,286060.39111713326,-710019.323394225,464.4194683464815,153.5010642215681
720575940605561824,R1-6,854892,347244,105600,286341.283151028,-698840.0047042358,465.3782464888422,210.7391759143126
720575940623976653,R1-6,852524,256178,108720,195687.5510350724,-689455.8268764819,155.94684086638043,258.7861663924128
720575940644544160,R1-6,866264,346848,124440,283460.49130703957,-720163.3856715576,455.54514366136175,101.56346536162495
720575940621614836,R1-6,867432,236380,119720,174096.6841134819,-705406.4227257312,82.25001510735154,177.11911564425648
720575940631811791,R1-6,846892,259220,109000,199001.0958061727,-686142.0094075247,167.25707368506949,275.75291183347343
720575940630695927,R1-6,803196,302024,89440,245916.23624022637,-646864.7261450648,327.39408636663933,476.8526021372682
720575940631966159,R1-6,853856,244552,115200,183426.41632445515,-693762.7968567072,114.09550105414023,236.73448009365916
720575940624090918,R7,835788,269444,139720,206780.13390270335,-701838.303084132,193.80952372122744,195.387888209244
720575940615230982,R1-6,824428,218620,91080,161685.8267737943,-653390.054231808,39.887622054551244,443.44292233314275
720575940608943708,R7,836224,296854,119500,235969.16671332598,-690563.2725751578,293.441422381486,253.11604441519202
720575940623603224,R1-6,862784,360260,145600,294911.8604661035,-734525.4533491151,494.63248372429985,28.02967885253072
720575940625561784,R1-6,816292,209596,91080,153179.71986431538,-646835.2067158062,10.853443803529839,477.0037416150725
720575940641193168,R1-6,867736,320824,141800,255820.66214211273,-730831.924677432,361.20119344507816,46.94054565154791
720575940632280204,R1-6,810304,228540,99760,171491.1467378492,-651087.2916584227,73.35644753185858,455.23306670887587
720575940626400304,R8,837762,303682,102940,244287.54367829312,-680418.3992746407,321.8348157552405,305.05779571383954
720575940632092178,R1-6,854376,345144,110880,283767.04543117166,-702065.5581595037,456.5915150717326,194.22434222334087
720575940625563576,R1-6,810392,210420,91080,154332.04757626372,-642892.2038619246,14.786722393646837,497.1919162269461
720575940624219539,R1-6,846768,348748,101680,288678.74763995805,-690623.2018024198,473.3567919443901,252.80920677161038
720575940621896374,R1-6,839164,237312,109720,177600.03141987705,-678968.4571880744,94.20810724651366,312.4814991970593
720575940611739634,R1-6,829872,264848,97280,206702.7070036155,-666669.5234366556,193.54523990567426,375.4520400043231
720575940638767450,R1-6,853224,283876,119040,222158.14643427543,-700426.3051538052,246.29980649566014,202.61731761251747
720575940631710671,R8,829248,237508,144540,174946.81903957904,-697331.962998023,85.1518089884298,218.46034945012212
720575940624118212,R1-6,853476,364300,154960,298535.991632829,-735359.0893071981,507.00285144005636,23.76146274714589
720575940616656326,R1-6,810268,296584,95120,239555.19640833224,-655199.1643270256,305.68173707377406,434.1802786456287
720575940629425994,R8,814332,269460,122320,209712.5860001594,-674617.9321916177,203.81896021387746,334.7561871789175
720575940625817102,R7,843344,236396,137800,173704.7035378221,-701983.9905330525,80.91205474243273,194.6419684707713
720575940647525940,R8,832724,259460,134520,197542.43516589567,-694893.8395381512,162.27817869959057,230.94354156466602
720575940617360982,R1-6,826136,236520,89600,179519.37973074897,-655458.7910335659,100.75948281428983,432.8509899081427
720575940625246700,R1-6,854656,358640,147080,293616.954034516,-729858.1881139132,490.2125364378146,51.92607685676455
720575940637246821,R1-6,853772,338432,99360,278259.95843581343,-692603.178693485,437.79399146090987,242.6717250893569
720575940636250360,R1-6,855304,265468,107680,204862.61195636285,-691627.8957707467,187.26438214438517,247.66517365377663
720575940631278444,R7,839508,252540,134720,190263.62356183253,-698915.0059983614,137.43316842438836,210.35516928838967
720575940633941459,R1-6,841708,268788,111920,208515.03396025387,-685756.9096330081,199.73131591766656,277.7246226789987
720575940632888135,R1-6,859204,216528,141920,152663.96176788193,-713614.1030315089,9.092989501037001,135.09579247867464
720575940612931570,R1-6,798944,321996,88600,266082.8572179625,-645548.4391186947,396.2294859706453,483.5919917122829
720575940613574553,R8,841014,292196,121780,230846.9847703975,-694970.6353080352,275.95770801629016,230.55034722285987
720575940632405816,R1-6,798416,350492,78000,295463.70228228054,-640674.2326269593,496.5161037901843,508.5479289499682
720575940624102185,R1-6,831480,300536,68400,244898.15875712648,-650858.4033894751,323.9190485576584,456.4049746458876
720575940616351810,R1-6,815264,286484,88800,229856.13650153446,-652944.2618566308,272.5756125919043,445.72537929405036
720575940624244420,R8,850008,301176,91120,242262.2696075007,-679987.3101838513,314.92188026026906,307.26497185868146
720575940617660555,R1-6,838772,233680,91080,175838.2128398537,-664852.9945245911,88.19443316003392,384.7526680340934
720575940621418678,R1-6,806716,209512,91120,153633.80886140818,-640308.0340591482,12.403400913606584,510.4228656171614
720575940613276645,R1-6,833448,306732,70320,250755.20388297812,-654270.5480765481,343.91109592056534,438.93479384807347
720575940616850188,R1-6,866104,316912,110680,255072.46248166068,-706834.115886642,358.64733860406847,169.80932666039288
720575940612768369,R8,851184,298936,126400,236516.45571996318,-705997.9857584387,295.3095021908077,174.09031291679383
720575940630603255,R8,802896,251360,120640,192539.71916625422,-663596.6793827037,145.2022414208144,391.1850015605569
720575940633128356,R1-6,876936,298568,123240,235004.03443702066,-721283.4849219809,290.1471042116972,95.82855719945789
720575940616052639,R1-6,851280,324256,126520,261656.96080909998,-708935.0996867022,381.1224262283946,159.05228960408448
720575940629016906,R1-6,826096,217940,111000,158965.8346115497,-668827.0724168047,30.60338214075635,364.40538922595977
720575940622534527,R1-6,853680,300780,83840,242373.84206993884,-677201.9605117979,315.3027142653912,321.5259621795946
720575940640864163,R1-6,815912,246700,89720,190200.47818273763,-649675.2402495951,137.21763219707776,462.4627699220729
720575940605444576,R1-6,850492,322372,145120,258008.77869415868,-721608.281196806,368.669964609395,94.16560027235329
720575940634045651,R1-6,812544,304648,83200,248605.6949496638,-649042.3503892677,336.57410542818576,465.7031660069495
720575940615169959,R1-6,813772,215648,91080,159335.41329000192,-645778.0166671188,31.864877363206546,482.41655466435196
