root_id,cell_type,side,x,y,z
7.205759406362035e+17,R1-6,right,876692.0,410.0,337.6
7.205759406447537e+17,R1-6,right,811240.0,105.44,80.6
7.205759406136142e+17,R8,right,848432.0,437.22,80.6
7.205759406120246e+17,R1-6,right,866048.0,122.86,437.6
7.20575940618311e+17,R1-6,right,816396.0,215.08,39.8
7.205759406374822e+17,R1-6,right,857396.0,475.88,208.8
7.205759406343401e+17,R1-6,right,822768.0,52.64,89.2
7.20575940625142e+17,R7,right,822236.0,399.32,254.0
7.20575940624651e+17,R1-6,right,537421.6,438.5439999999999,471.12
7.205759406124449e+17,R8,right,814684.0,217.22,274.8
7.205759406060954e+17,R7,right,815511.3333333334,439.03,293.0
7.205759406217167e+17,R1-6,right,714574.0,360.62,364.4
7.205759406214458e+17,R1-6,right,728636.0,170.935,480.6
7.205759406612009e+17,R8,right,795896.0,434.3,328.0
7.205759406404005e+17,R1-6,right,855352.0,361.36,112.8
7.205759406375041e+17,R1-6,right,841686.0,123.72,127.5
7.205759406197217e+17,R1-6,right,517270.0,300.77,236.5
7.205759406422249e+17,R1-6,right,850056.0,362.72,113.0
7.205759406108147e+17,R1-6,right,670537.3333333334,314.48,43.733333333333356
7.2057594060924e+17,R1-6,right,880220.0,355.1,351.0
7.205759406447741e+17,R1-6,right,807738.0,455.09,452.6
7.205759406337236e+17,R1-6,right,819446.0,80.71,324.1
7.20575940635455e+17,R1-6,right,859696.0,30.32,301.0
7.205759406313921e+17,R1-6,right,791936.0,496.28,62.2
7.205759406167153e+17,R1-6,right,850216.0,506.46,99.4
7.205759406243206e+17,R1-6,right,566360.0,399.29,293.4
7.205759406137644e+17,R1-6,right,749804.0,102.33,327.3
7.205759406139876e+17,R1-6,right,751516.0,6.53,379.7
7.20575940633111e+17,R1-6,right,871460.0,88.24,297.6
7.205759406063196e+17,R1-6,right,817552.0,460.22,69.2
7.20575940619691e+17,R1-6,right,846316.0,162.9,175.4
7.205759406356512e+17,R8,right,813608.0,209.42,172.33333333333343
7.205759406218345e+17,R8,right,845880.0,259.54,280.8
7.205759406211386e+17,R1-6,right,885460.0,213.22,396.2
7.205759406229582e+17,R1-6,right,833108.0,66.57,253.7
7.205759406325498e+17,R1-6,right,856136.0,259.82,181.8
7.205759406067233e+17,R7,right,807516.0,274.12,117.2
7.205759406243128e+17,R1-6,right,479808.8,122.40399999999994,497.32
7.205759406056083e+17,R1-6,right,851140.0,126.78,233.2
7.205759406401082e+17,R1-6,right,826838.0,437.45,144.6
7.205759406099428e+17,R1-6,right,816760.0,467.84399999999994,362.52
7.20575940622259e+17,R7,right,539866.0,284.13,389.5
7.205759406190047e+17,R1-6,right,873072.0,316.32,217.2
7.20575940627042e+17,R1-6,right,645550.6666666666,32.58666666666657,84.46666666666657
7.205759406168332e+17,R7,right,532816.0,411.62,385.8
7.205759406134245e+17,R1-6,right,542480.0,43.65,458.9
7.205759406358653e+17,R7,right,587829.6,231.74399999999994,505.36
7.205759406403325e+17,R1-6,right,802644.0,126.76,80.6
7.205759406267827e+17,R1-6,right,478878.6666666667,366.88,459.2666666666667
7.205759406228298e+17,R7,right,782476.0,213.92,135.2
7.205759406154803e+17,R1-6,right,853024.0,240.78,201.0
7.205759406356355e+17,R8,right,835224.0,329.69,265.5
7.205759406404393e+17,R1-6,right,866600.0,129.3,475.0
7.205759406211517e+17,R1-6,right,871396.0,154.16,400.0
7.205759406400186e+17,R1-6,right,863256.0,28.0,489.8
7.205759406399795e+17,R1-6,right,842112.0,496.18,146.4
7.205759406104174e+17,R8,right,842292.0,426.32,207.8
7.205759406348973e+17,R1-6,right,568236.0,460.9,314.7
7.205759406186572e+17,R1-6,right,876832.0,283.9,236.8
7.205759406386652e+17,R1-6,right,865788.0,426.56,333.4
7.20575940618231e+17,R1-6,right,758316.0,421.175,249.55
7.205759406328326e+17,R8,right,830088.0,436.7,285.4
7.205759406308698e+17,R1-6,right,863636.0,9.98,369.4
7.205759406162916e+17,R7,right,653738.6666666666,466.04666666666657,384.0
7.205759406160748e+17,R1-6,right,525636.0,81.75,414.4
7.205759406145628e+17,R1-6,right,468921.0,48.605,332.95
7.205759406298726e+17,R1-6,right,869140.0,234.24,278.0
7.205759406357862e+17,R1-6,right,829560.0,47.86,183.4
7.205759406463341e+17,R1-6,right,805360.0,387.48,74.4
7.20575940614442e+17,R1-6,right,862464.0,235.2,343.6
7.205759406204393e+17,R1-6,right,871208.0,477.82,278.6
7.205759406066241e+17,R1-6,right,808548.0,342.99,269.9
7.205759406279708e+17,R7,right,690977.3333333334,169.72,92.93333333333344
7.205759406313185e+17,R7,right,840768.0,259.72,297.6
7.20575940619736e+17,R1-6,right,857912.0,116.94,223.2
7.205759406196275e+17,R1-6,right,864552.0,74.14,312.2
7.205759406387981e+17,R7,right,723436.0,22.97,280.6
7.205759406308385e+17,R1-6,right,576582.6666666666,352.45333333333343,177.06666666666658
7.205759406097482e+17,R1-6,right,568690.0,310.75,458.9
7.205759406281594e+17,R1-6,right,850660.0,78.44,234.4
7.205759406246968e+17,R1-6,right,602623.0,45.775,339.75
7.20575940621193e+17,R1-6,right,872268.0,145.1,309.4
7.205759406308212e+17,R1-6,right,761561.6,157.86,213.2
7.205759406065198e+17,R1-6,right,885360.0,263.04,390.6
7.205759406609665e+17,R1-6,right,845988.0,99.08,217.2
7.205759406277757e+17,R1-6,right,825762.0,420.765,367.95
7.205759406308577e+17,R1-6,right,809472.0,412.84,15.6
7.205759406266949e+17,R8,right,823220.0,288.12,252.0
7.20575940626977e+17,R1-6,right,652286.0,189.98,178.8
7.205759406252452e+17,R1-6,right,820010.0,399.26,219.6
7.20575940625098e+17,R1-6,right,832152.0,316.09,333.8
7.205759406181542e+17,R1-6,right,862552.0,23.02,350.4
7.205759406304502e+17,R1-6,right,840636.0,192.04,155.0
7.205759406125971e+17,R1-6,right,847980.0,5.12,233.8
7.205759406326067e+17,R1-6,right,840449.3333333334,124.81333333333313,97.46666666666657
7.205759406096573e+17,R1-6,right,835084.0,278.04,122.8
7.205759406178012e+17,R1-6,right,764224.0,498.68,235.1
7.205759406241414e+17,R1-6,right,877212.0,325.78,286.2
7.205759406368686e+17,R1-6,right,380479.0,459.715,417.15
7.20575940632007e+17,R7,right,565902.0,80.78,511.6
7.20575940623507e+17,R8,right,560360.0,217.15,329.5
7.205759406107534e+17,R1-6,right,812420.0,315.18,95.6
7.205759406247553e+17,R1-6,right,478284.0,149.94,414.5333333333333
7.205759406235647e+17,R1-6,right,663944.0,111.08,192.28
7.205759406265861e+17,R1-6,right,875236.0,477.6,350.6
7.205759406376908e+17,R1-6,right,857696.0,205.5,241.8
7.205759406273012e+17,R7,right,816050.0,253.0,493.1
7.205759406064128e+17,R8,right,825876.0,119.0,297.6
7.205759406197754e+17,R8,right,847636.0,311.72,187.0
7.205759406246412e+17,R8,right,814516.0,503.49,237.5
7.205759406365276e+17,R1-6,right,835429.0,303.205,405.15
7.205759406140033e+17,R1-6,right,862156.0,341.84,214.0
7.205759406404942e+17,R1-6,right,875876.0,195.54,432.0
7.205759406241034e+17,R1-6,right,695128.0,40.88,284.1
7.205759406163469e+17,R1-6,right,874504.0,180.04,281.8
7.205759406369166e+17,R1-6,right,872076.0,166.14,368.4
7.20575940615143e+17,R1-6,right,839916.0,221.12,61.8
7.205759406227763e+17,R1-6,right,572286.0,174.47,470.8
7.20575940628083e+17,R1-6,right,844288.0,351.26,95.4
7.205759406208408e+17,R1-6,right,759018.0,450.52,431.4
7.20575940619337e+17,R1-6,right,739720.0,24.49,183.4
7.205759406459914e+17,R1-6,right,861124.0,61.54,262.0
7.205759406091909e+17,R8,right,560801.0,3.33,421.75
7.205759406117208e+17,R1-6,right,835228.0,253.74,53.2
7.205759406247212e+17,R1-6,right,873968.0,349.12,381.0
7.205759406249774e+17,R8,right,825888.0,329.18,271.6
7.205759406284653e+17,R1-6,right,839442.6666666666,281.66,347.33333333333326
7.205759406277183e+17,R7,right,830852.0,402.04,206.8
7.205759406161541e+17,R1-6,right,857852.0,349.84,199.6
7.205759406219073e+17,R1-6,right,823801.6,422.3479999999999,336.48
7.205759406237318e+17,R1-6,right,819252.0,143.52,73.2
7.205759406482367e+17,R1-6,right,826938.0,96.53,102.6
7.205759406226465e+17,R1-6,right,530822.0,334.18,310.25
7.205759406329559e+17,R7,right,871180.0,411.92,431.0
7.205759406409577e+17,R1-6,right,567088.0,507.42,124.5
7.205759406142433e+17,R1-6,right,876716.0,398.47,300.3
7.205759406151649e+17,R1-6,right,448037.0,224.885,248.5
7.205759406327373e+17,R8,right,772699.0,428.805,318.7
7.205759406250604e+17,R1-6,right,705916.0,398.095,402.6
7.205759406321722e+17,R1-6,right,794074.0,162.4,179.3
7.205759406094842e+17,R1-6,right,869714.0,416.59,315.9
7.205759406237217e+17,R1-6,right,723744.0,215.05,17.0
7.205759406163315e+17,R8,right,760904.0,252.82,193.6
7.20575940612598e+17,R7,right,535834.0,88.04,463.2
7.205759406278013e+17,R1-6,right,867884.0,58.2,481.2
7.205759406255388e+17,R1-6,right,828016.0,305.6,113.6
7.205759406257661e+17,R1-6,right,798240.0,490.4,18.4
7.205759406334757e+17,R1-6,right,688734.0,351.84,399.4
7.205759406213443e+17,R1-6,right,821232.0,175.8,25.8
7.20575940621441e+17,R7,right,524324.0,432.77,422.4
7.205759406147661e+17,R1-6,right,814488.0,102.8,120.8
7.205759406161356e+17,R7,right,821688.0,423.04,104.0
7.205759406185917e+17,R1-6,right,773748.0,48.23,242.6
7.205759406256704e+17,R1-6,right,807648.0,38.18,98.6
7.205759406327098e+17,R7,right,795976.0,395.62,167.4
7.205759406239948e+17,R1-6,right,647168.0,42.22,426.0
7.205759406283679e+17,R1-6,right,733256.0,67.06,195.0
7.20575940620939e+17,R1-6,right,808354.0,361.8,407.4
7.205759406329235e+17,R7,right,804152.0,500.82,267.8
7.20575940610766e+17,R1-6,right,552144.0,408.46,470.5
7.205759406239392e+17,R1-6,right,479190.6666666667,163.50666666666658,464.4
7.205759406223064e+17,R7,right,851560.0,494.18,350.6
7.205759406075475e+17,R1-6,right,874340.0,435.52,254.8
7.205759406279461e+17,R8,right,641540.0,238.28,367.175
7.20575940631195e+17,R1-6,right,825868.0,19.88,82.2
7.205759406353005e+17,R7,right,839000.0,363.82,404.6
7.205759406459411e+17,R1-6,right,878900.0,158.12,220.6
7.205759406340198e+17,R1-6,right,853118.0,349.49,182.7
7.205759406195965e+17,R7,right,833088.0,279.6,348.4
7.205759406420238e+17,R1-6,right,874920.0,240.3,344.8
7.205759406343672e+17,R1-6,right,545530.0,487.65,131.5
7.205759406293958e+17,R1-6,right,837628.0,139.36,65.8
7.205759406320371e+17,R1-6,right,472900.0,363.78,251.93333333333342
7.205759406210682e+17,R1-6,right,527616.0,494.81,237.3
7.20575940633654e+17,R1-6,right,840740.0,388.12,75.2
7.205759406236499e+17,R1-6,right,651278.6666666666,24.953333333333138,67.06666666666665
7.20575940629547e+17,R1-6,right,727060.0,398.62,468.92
7.205759406173737e+17,R1-6,right,858928.0,273.52,253.4
7.205759406287908e+17,R1-6,right,479968.8,328.1360000000001,195.84
7.205759406147617e+17,R8,right,795924.0,483.9,192.8
7.205759406352454e+17,R1-6,right,780973.3333333334,368.5,477.9333333333333
7.205759406132508e+17,R1-6,right,858264.0,397.8,63.0
7.205759406076142e+17,R1-6,right,564304.8,175.83600000000007,268.0
7.205759406320476e+17,R1-6,right,664681.3333333334,102.1,275.8
7.205759406212096e+17,R7,right,840884.0,203.64,318.0
7.205759406266509e+17,R1-6,right,537188.0,34.04,136.05
7.20575940628946e+17,R7,right,768566.0,176.68,285.6
7.205759406272513e+17,R1-6,right,869936.0,175.98,417.4
7.205759406212276e+17,R1-6,right,859564.0,490.56,224.8
7.205759406352358e+17,R1-6,right,841868.0,299.02,142.0
7.205759406245306e+17,R1-6,right,853936.0,95.26,176.2
7.205759406300481e+17,R1-6,right,538534.0,21.37,297.9
7.205759406388813e+17,R1-6,right,825546.0,72.99,59.4
7.205759406460223e+17,R1-6,right,869950.0,504.38,311.0
7.205759406320901e+17,R1-6,right,817768.0,304.24,40.4
7.205759406230382e+17,R1-6,right,717852.0,382.37333333333345,199.2
7.205759406322035e+17,R1-6,right,819752.0,51.04,111.2
7.205759406287764e+17,R1-6,right,838706.0,277.09,100.0
7.205759406320701e+17,R1-6,right,850060.0,346.12,38.4
7.205759406212956e+17,R7,right,683137.3333333334,132.6,507.4666666666667
7.205759406367251e+17,R1-6,right,832728.0,147.42,94.2
7.205759406270689e+17,R1-6,right,816756.0,252.46,44.4
7.205759406310441e+17,R1-6,right,566973.0,420.57,220.65
7.205759406288192e+17,R8,right,826996.0,11.34,413.6
7.205759406173135e+17,R1-6,right,457205.3333333333,404.4133333333334,317.8
7.205759406236877e+17,R1-6,right,574786.0,437.96,253.9
7.205759406259796e+17,R7,right,435334.0,197.06,458.3
7.205759406285693e+17,R1-6,right,802684.0,114.42,80.6
7.205759406266583e+17,R1-6,right,812184.0,489.68,94.2
7.205759406152125e+17,R1-6,right,743988.0,453.56,460.0666666666667
7.205759406400174e+17,R1-6,right,859768.0,165.18,267.4
7.205759406151726e+17,R1-6,right,871176.0,485.1,328.4
7.205759406390167e+17,R1-6,right,826104.0,229.36,51.2
7.205759406245434e+17,R1-6,right,864776.0,456.88,294.8
7.205759406256625e+17,R1-6,right,380845.0,258.175,462.2
7.205759406371676e+17,R8,right,814032.0,388.52,192.0
7.20575940627342e+17,R1-6,right,886320.0,239.4,399.8
7.20575940628441e+17,R8,right,830464.0,465.92,315.8
7.205759406241321e+17,R1-6,right,433136.0,24.38,292.5333333333333
7.20575940637422e+17,R1-6,right,869628.0,138.32,439.4
7.205759406391652e+17,R1-6,right,630303.0,14.87,87.0
7.205759406247981e+17,R1-6,right,847668.0,143.96,175.4
7.205759406228692e+17,R1-6,right,869756.0,36.2,389.8
7.205759406173588e+17,R1-6,right,852800.0,258.48,201.0
7.20575940631639e+17,R7,right,726791.3333333334,255.11333333333343,178.96666666666658
7.205759406247936e+17,R1-6,right,578214.0,3.59,101.2
7.205759406297875e+17,R7,right,838000.0,358.42,255.6
7.205759406399379e+17,R1-6,right,831316.0,45.3,119.8
7.205759406207589e+17,R1-6,right,816148.0,61.88,80.4
7.205759406266303e+17,R8,right,837212.0,82.40666666666657,222.93333333333342
7.205759406256666e+17,R1-6,right,859772.0,187.22,248.2
7.205759406362442e+17,R1-6,right,877496.0,445.78,286.8
7.205759406294981e+17,R1-6,right,880840.0,321.16,373.0
7.205759406328191e+17,R1-6,right,863452.0,426.48,239.4
7.20575940606631e+17,R1-6,right,630364.0,282.8,320.13333333333327
7.205759406074885e+17,R1-6,right,837276.0,349.34,156.8
7.20575940628473e+17,R8,right,806770.0,180.14,303.6
7.205759406210177e+17,R1-6,right,642276.0,182.1,369.86666666666673
7.205759406337798e+17,R1-6,right,517240.0,211.38,416.8
7.205759406225318e+17,R1-6,right,850316.0,457.72,133.4
7.205759406197509e+17,R1-6,right,819972.0,376.02,93.2
7.205759406210579e+17,R1-6,right,767478.6666666666,455.25333333333344,465.2
7.20575940625558e+17,R1-6,right,844484.0,74.76,80.4
7.205759406144069e+17,R1-6,right,870380.0,225.84,256.8
7.205759406295736e+17,R1-6,right,767484.0,185.77333333333343,216.2
7.205759406107151e+17,R1-6,right,871080.0,55.26,335.0
7.205759406308895e+17,R1-6,right,542778.0,147.4,426.2
7.205759406413645e+17,R1-6,right,829996.0,211.3,108.6
7.205759406186573e+17,R7,right,719598.0,158.48,354.0
7.205759406128714e+17,R1-6,right,847118.0,124.91,124.8
7.205759406238656e+17,R8,right,549962.0,246.09,296.05
7.205759406197272e+17,R1-6,right,825376.0,267.08,84.4
7.205759406219738e+17,R1-6,right,826540.0,363.5,48.6
7.205759406270863e+17,R1-6,right,857924.0,216.46,247.6
7.205759406188442e+17,R1-6,right,851396.0,290.36,142.4
7.205759406133848e+17,R1-6,right,454934.6666666667,258.04,357.5333333333333
