root_id,cell_type,index_id,x,y,z
720575940621391636,KCab,47427,631896.0,172084.0,143760.0
720575940622096589,Unknown,51366,632644.0,179296.0,143760.0
720575940611343218,Unknown,10720,623160.0,179772.0,143760.0
720575940637446622,Unknown,118610,631000.0,166156.0,143760.0
720575940623914679,KCapbp-m,61316,637180.0,171368.0,143760.0
720575940619375701,Unknown,37601,632360.0,180644.0,143760.0
720575940627741562,KCab,81557,631496.0,177752.0,143760.0
720575940620393643,Unknown,41894,623980.0,167376.0,143760.0
720575940626758489,Unknown,75722,638476.0,179912.0,143760.0
720575940623978789,KCab,61672,631284.0,178132.0,143760.0
720575940626640158,Unknown,75069,640000.0,171560.0,143760.0
720575940616723549,Unknown,27339,635320.0,180096.0,143760.0
720575940617395412,Unknown,29752,639504.0,171076.0,143760.0
720575940611686629,KCab,11602,624644.0,173340.0,143760.0
720575940635659486,KCab,114687,626524.0,174884.0,143760.0
720575940635150990,KCab,113339,632888.0,178336.0,143760.0
720575940625343546,Unknown,68740,641788.0,177060.0,143760.0
720575940626930947,KCab,76746,621304.0,171724.0,143760.0
720575940614544034,Unknown,20026,620128.0,171632.0,143760.0
720575940612490723,Unknown,13825,629132.0,165588.0,143760.0
720575940630966840,Unknown,98368,638420.0,168308.0,143760.0
720575940630881989,KCab,97902,633928.0,171920.0,143760.0
720575940636069751,KCab,115684,634064.0,176716.0,143760.0
720575940635498871,Unknown,114242,638816.0,177936.0,143760.0
720575940611769059,KCapbp-m,11805,626192.0,177536.0,143760.0
720575940622067113,Unknown,51179,639956.0,173708.0,143760.0
720575940617727435,KCab,31052,629976.0,173976.0,143760.0
720575940628741881,Unknown,87111,641036.0,175580.0,143760.0
720575940631458371,Unknown,100845,638880.0,175816.0,143760.0
720575940626089980,KCab,72438,624248.0,170240.0,143760.0
720575940632927405,Unknown,107155,632156.0,165892.0,143760.0
720575940639588723,Unknown,123353,637852.0,168364.0,143760.0
720575940616308597,KCab,25983,632364.0,176448.0,143760.0
720575940621504269,Unknown,48027,630764.0,181272.0,143760.0
720575940637754019,KCab,119339,627472.0,173576.0,143760.0
720575940620684156,Unknown,43454,634608.0,166632.0,143760.0
720575940619665023,KCab,38604,634628.0,176864.0,143760.0
720575940632357984,Unknown,104657,639228.0,168576.0,143760.0
720575940639534451,Unknown,123248,639700.0,171900.0,143760.0
720575940623943572,KCab,61477,634520.0,171972.0,143760.0
720575940637222470,KCapbp-m,118109,632004.0,168368.0,143760.0
720575940608148693,KCapbp-ap2,5372,625216.0,177176.0,143760.0
720575940627426837,Unknown,79854,636332.0,166440.0,143760.0
720575940618266747,Unknown,33350,627056.0,166108.0,143760.0
720575940608631342,Unknown,6031,631784.0,165316.0,143760.0
720575940608312533,Unknown,5610,641476.0,177268.0,143760.0
720575940626655321,KCab,75160,622884.0,172748.0,143760.0
720575940628201259,Unknown,84140,639368.0,179092.0,143760.0
720575940612266213,Unknown,13127,641364.0,176460.0,143760.0
720575940619742656,KCab,38960,631896.0,176152.0,143760.0
720575940644554606,KCab,128988,631780.0,175172.0,143760.0
720575940625476964,KCapbp-ap2,69387,632284.0,168052.0,143760.0
720575940606893186,Unknown,3830,621324.0,177016.0,143760.0
720575940623244180,KCapbp-m,57766,629812.0,167696.0,143760.0
720575940617321243,KCab,29478,628776.0,174740.0,143760.0
720575940612763542,KCapbp-ap1,14693,636020.0,177368.0,143760.0
720575940617766228,Unknown,31198,632976.0,166192.0,143760.0
720575940622538461,Unknown,53871,641696.0,175200.0,143760.0
720575940605934001,Unknown,2443,627692.0,166396.0,143760.0
720575940622294808,Unknown,52523,639536.0,178176.0,143760.0
720575940626820395,Unknown,76084,640420.0,169160.0,143760.0
720575940637740989,Unknown,119303,634428.0,181716.0,143760.0
720575940625766984,Unknown,70780,641860.0,172072.0,143760.0
720575940619147349,KCab,36811,623704.0,172824.0,143760.0
720575940627170898,Unknown,78245,639024.0,178480.0,143760.0
720575940628331625,KCapbp-m,84905,631392.0,168116.0,143760.0
720575940645390468,KCab,129929,626388.0,176964.0,143760.0
720575940622102763,KCab,51398,621296.0,173688.0,143760.0
720575940612765846,KCab,14697,623040.0,171944.0,143760.0
720575940618548975,KCab,34474,623492.0,171712.0,143760.0
720575940609371086,Unknown,7110,629300.0,172056.0,143760.0
720575940613987635,Unknown,18406,625700.0,166376.0,143760.0
720575940626353905,KCab,73662,631528.0,178020.0,143760.0
720575940644583534,Unknown,129008,632476.0,165980.0,143760.0
720575940620403649,KCab,41928,629536.0,178244.0,143760.0
720575940621023041,Unknown,45417,639496.0,168696.0,143760.0
720575940631777567,Unknown,102248,637880.0,180048.0,143760.0
720575940627263162,KCab,78840,623400.0,172868.0,143760.0
720575940633215339,KCab,108176,629188.0,178128.0,143760.0
720575940617492805,KCab,30113,624588.0,172204.0,143760.0
720575940610907490,Unknown,9779,638912.0,174648.0,143760.0
720575940620020257,KCapbp-ap2,40162,621772.0,175896.0,143760.0
720575940620282758,Unknown,41400,636388.0,177936.0,143760.0
720575940623438665,Unknown,58842,640608.0,177496.0,143760.0
720575940621477402,Unknown,47892,636404.0,178992.0,143760.0
720575940624421148,Unknown,64214,626640.0,180552.0,143760.0
720575940627543624,Unknown,80515,631412.0,180156.0,143760.0
720575940627561854,Unknown,80615,631104.0,166400.0,143760.0
720575940628269391,Unknown,84538,639192.0,174176.0,143760.0
720575940618182535,KCab,32950,628800.0,177600.0,143760.0
720575940617893461,KCab,31691,628296.0,173912.0,143760.0
720575940611855729,Unknown,12033,635936.0,177984.0,143760.0
720575940612725906,KCab,14567,624828.0,173016.0,143760.0
720575940638964131,Unknown,121975,623108.0,178688.0,143760.0
720575940632940442,KCab,107207,632468.0,172648.0,143760.0
720575940607981636,KCab,5162,628548.0,176444.0,143760.0
720575940617293201,Unknown,29346,636520.0,180472.0,143760.0
720575940633911959,Unknown,110338,631992.0,165624.0,143760.0
720575940645819268,Unknown,130363,628252.0,181808.0,143760.0
720575940622886925,Unknown,55679,620716.0,171260.0,143760.0
720575940629978666,Unknown,93352,628568.0,181908.0,143760.0
720575940624516339,Unknown,64660,621892.0,178144.0,143760.0
720575940632668973,Unknown,106060,633328.0,179396.0,143760.0
720575940647739513,Unknown,131683,628864.0,166432.0,143760.0
720575940630980409,others,98437,609694.0,156048.0,144140.0
720575940623014328,KCapbp-ap1,56414,625420.0,179008.0,143760.0
720575940621290017,Unknown,46834,623684.0,168572.0,143760.0
720575940618201620,Unknown,33052,635560.0,167788.0,143760.0
720575940648019065,others,131828,648480.0,314528.0,144760.0
720575940623973961,Unknown,61643,627492.0,171564.0,143760.0
720575940613799436,KCab,17943,624352.0,174264.0,143760.0
720575940610743282,Unknown,9475,633424.0,167264.0,143760.0
720575940637148486,KCapbp-ap1,117965,635856.0,169908.0,143760.0
720575940612728466,KCab,14578,625916.0,171688.0,143760.0
720575940621924615,KCab,50445,623840.0,173688.0,143760.0
720575940620126076,KCapbp-ap1,40685,633916.0,168096.0,143760.0
