root_id,cell_type,x,y,z,PC1,PC2,x_axis,y_axis
720575940634239714,R1-6,135108,290188,174640,-340.399213805063,-147.98723549586646,180.98936430938667,324.05971152813504
720575940631882703,R1-6,195880,269472,140720,-285.44718661141866,14.392797536310752,235.73237007875755,161.60909214009885
720575940621185556,R1-6,163224,414148,131640,-566.9204231756153,21.087537311471067,463.6373664466814,326.9309451212395
720575940644737992,R1-6,228328,299896,142200,-359.9952143000152,44.31823446546494,313.1605156885821,183.00587869986876
720575940627637022,R1-6,183120,184044,165860,-127.30059907844911,-81.82104221863734,51.63308302550846,142.24679333031384
720575940624698109,R7,125316,296996,187000,-362.7405149962503,-194.992993737307,170.25894384964755,374.9864542427964
720575940622904158,R1-6,189520,403752,130760,-552.7662282039586,48.99264688859358,469.29875979501395,296.1578237137134
720575940623901843,R8,247848,321712,170200,-436.86938886907836,-20.414785189259533,335.0509351768236,281.0916171327447
720575940614670120,R1-6,138128,375184,152680,-497.5144613810031,-71.17980893900508,352.50312976779003,358.23002105872627
720575940630546882,R1-6,136480,382772,151200,-511.38128087936224,-67.69116384501709,365.64597303211013,363.8625159341251
720575940630097402,R1-6,129944,341924,161360,-433.9283473238097,-108.42874578745202,279.35268232691334,349.3031382638457
720575940624408042,R8,252120,314784,151240,-406.53361135724265,41.329222830522156,348.35882704914246,213.59730672431746
720575940614320488,R1-6,101424,351632,167160,-450.45297380987495,-153.65201286441658,265.0771082049595,395.2859083968753
720575940630277626,R1-6,161344,257036,166440,-272.3668304546637,-99.48992297763085,156.28746613558133,244.24611160658003
720575940625422228,R1-6,196252,246772,156240,-252.66612459630494,-34.5174272733322,180.01037736057356,180.63191120781832
720575940622128566,R1-6,130120,413096,159160,-579.5312761882549,-96.00861583803601,402.67564565950335,427.69905165691557
720575940622596084,R7,206596,243600,179080,-270.16263118202374,-94.46350837159596,157.5818541914601,238.91245453229544
720575940609674763,R7,204620,303180,205120,-416.8363155928837,-171.53831252859672,227.49915766743436,389.1298496939247
720575940611811538,R8,241004,197740,135000,-145.5846534645856,70.99635395745612,158.82084922136684,31.80112344335858
720575940607873202,R8,134064,298076,180960,-362.1955341433781,-167.76075245687383,186.3353565506537,352.9991641880249
720575940621747565,R1-6,187672,278972,143120,-304.77312732148556,-0.34077969325917934,242.1692657906997,185.0427571522625
720575940639546438,R1-6,100396,380760,168800,-512.0182310469602,-157.43563677025293,311.7440368815811,435.6194487376437
720575940631000064,R1-6,183756,237596,161640,-234.67301098644367,-64.12480615917723,147.75128778628823,193.26916414133163
720575940623928614,R1-6,136336,262228,182480,-289.970356643268,-172.94228505887023,125.7557345956914,313.3326298193432
720575940627402754,R1-6,174296,385892,140120,-519.5325823921825,3.8889152242284126,415.5245667451961,311.8790827547242
720575940620953223,R1-6,180856,276756,162320,-315.5768022916019,-66.04438841852676,210.92759914243263,243.8444736018827
720575940627289177,R8,282868,345552,173400,-500.13938688462383,6.279013013370928,401.5508280912943,298.2209998926052
720575940612903603,R1-6,237096,320344,116840,-381.97726896307904,132.2258502003386,383.9369763020829,126.42273408571972
720575940627865752,R1-6,147256,397832,149600,-544.5050740314105,-50.965201821742,402.12849821928916,370.64254796580184
720575940647814788,R1-6,113636,308832,185720,-382.4677609936102,-201.71283458975185,181.8733917851047,392.2903582785074
720575940648343172,R1-6,164978.66666666666,267874.6666666667,157306.66666666666,-287.63554510244523,-67.08946303602382,188.07326563761535,227.735920770628
720575940612930522,R1-6,201224,297684,132880,-338.4484485163915,45.869235071322294,296.9654036462071,168.70947829456998
720575940625887791,R1-6,205544,374680,137520,-503.6614085107683,41.89651306082311,425.9452384474587,272.03085500296504
720575940633791277,R8,267852,364356,220160,-577.118878290544,-150.2962334680489,367.84473702222755,469.4096365852178
720575940630653148,R1-6,128648,309732,180120,-383.9050691835256,-169.64460534868087,202.45811851828955,367.6589513594786
720575940624481544,R7,252336,351544,165840,-496.13850729735816,-0.3152683814495276,394.37121364335894,301.03963803271336
720575940623160652,R1-6,192480,325520,132760,-393.3219342719083,39.74088899984915,336.8890792631633,206.85074452636542
720575940629466865,R1-6,113164,392236,167100,-538.2416420702666,-138.71019304963156,343.9511248396477,436.625934451796
720575940633723949,R1-6,171280,313416,152520,-379.6499348205789,-42.673402197494426,276.0517101669431,264.1032858150101
720575940625148651,R1-6,172224,373648,137480,-491.09208901846546,8.9746085077972,395.99004656564574,290.59226850576437
720575940616731916,R1-6,205896,237136,138680,-219.66947477510317,28.044941379674412,191.69830584068768,110.87360561815068
720575940625493228,R1-6,171396,413008,140720,-575.3933638502369,1.2818977642767777,458.36824615982465,347.8185120679109
720575940635192732,R1-6,124864,406440,162640,-567.2686174283342,-112.37927834398272,382.9986862703105,433.28373248413595
720575940615997546,R1-6,242924,255068,145520,-274.6394246948388,45.12257310501231,245.76755153905094,130.61841681336185
720575940645311524,R1-6,110800,388936,162520,-526.4823892013761,-127.28086646677255,341.52852780580645,420.40740930973146
720575940618054612,R1-6,154428,408964,149240,-569.4928089713167,-41.9056487935419,427.4928517649241,378.5868520706191
720575940615732074,R1-6,119424,418960,154280,-583.8983656383235,-91.19438266605277,409.0673225747337,426.5180446669126
720575940628276245,R1-6,143036,251532,184680,-271.89291530230815,-173.87801866792407,110.81205275231886,303.11715842605867
720575940636942447,R7,201540,282856,192040,-361.80101648815696,-136.10897943706016,205.21081276812788,327.5883882836905
720575940618578715,R1-6,140816,260248,181200,-286.0945018172222,-164.74411490862343,127.64361935841414,304.4631238822766
720575940622951006,R1-6,215360,296820,143080,-350.3761371365849,28.55598303928329,295.9547635396957,189.70940825446039
720575940627050954,R1-6,156796,298588,160440,-351.6188462624367,-82.40114798447644,229.67418178927775,278.7033054262408
720575940640655779,R8,266360,300550,154160,-384.13012050230515,45.374566197124665,332.994610396349,196.79784089688695
720575940623943629,R1-6,211992,374052,132040,-499.3690460283714,65.00639653412787,436.54226345689756,251.05005066234602
720575940629568528,R1-6,88032,402780,162520,-548.0823607499183,-148.73420508464113,345.6999618024813,450.56372949575785
720575940655809185,R1-6,163456,343504,144120,-431.9220736084118,-22.36456363148156,329.9344283288696,279.64285147294356
720575940625397140,R7,196004,254828,216120,-323.9437353856133,-217.48663437272063,125.76816976478723,369.3539593673978
720575940605757408,R1-6,207884,333944,128600,-411.7948062912781,68.37024903157123,368.93677096282033,195.28213556963615
720575940624332522,R1-6,137480,277696,194080,-332.98335625997765,-206.13125473620087,139.84138977145525,365.80376629016223
720575940607877042,R1-6,117448,294764,180160,-349.41593225026713,-182.00633282858308,167.535641817672,356.58043639657643
720575940640099893,R1-6,231800,219872,149120,-201.48592319998227,20.36966067243233,172.5843204705581,105.95354006060799
720575940623698835,R1-6,219336,252920,129360,-248.07913295101048,71.10051707742252,240.39442801975676,93.85658587150904
720575940629754411,R1-6,219012,321392,131040,-391.4696886081311,70.93672806792307,354.32883868503393,180.91879549688787
720575940616030431,R1-6,245464,213184,135200,-179.17734506194572,75.99198445283986,188.56464322855143,48.19416986127384
720575940650842745,R8,260752,331812,158840,-451.4656859038226,27.916789473781677,375.9603805620997,251.50428412003947
720575940630645882,R1-6,166060,426774,141180,-602.6888916600011,-4.339953022969382,476.6671627192219,368.8375676470725
720575940606415392,R1-6,97276,398364,165680,-544.6945394998752,-149.60635386480658,342.47699206683916,449.20341982508654
720575940621401280,R1-6,166776,398716,128880,-533.5151931782011,31.857855006967952,443.60091762362856,298.1134182842041
