root_id,cell_type,x,y,z,PC1,PC2,x_axis,y_axis
720575940629626923,R1-6,842916,251480,112120,191230.10679393983,-684823.3910254315,190.24895128207518,259.7915971351602
720575940636024730,R1-6,836256,323532,87160,265640.2036155098,-670187.4515799562,346.67958320681737,307.31661413949865
720575940618733140,R1-6,864568,251984,162160,185607.99892145055,-735783.3616408152,178.42972345132162,94.31718539280813
720575940622562431,R1-6,832820,235848,104080,177056.2510402598,-670401.2265980832,160.45158093763047,306.6224556668271
720575940628416017,R7,795588,368860,134640,308329.1764311664,-681624.5029584353,436.4236270801152,270.1788503993137
720575940614944209,R7,808624,203604,134480,143411.14080539296,-672245.1011763286,89.72024097124888,300.6351276233188
720575940634805667,R1-6,861992,310920,137800,246696.51667331334,-722929.7838069889,306.8547066654223,136.05461587309313
720575940609481737,R1-6,840136,183780,133600,122018.55566952477,-690973.5110341193,44.74710218697518,239.8212659459332
720575940628243002,R7,799434,323656,116660,264957.6208860373,-666310.1434847575,345.24460526332217,319.9067955789515
720575940621522541,R1-6,803362,218424,91120,162678.32539627288,-638995.232906399,130.22519916515236,408.6022697946366
720575940630776108,R1-6,874268,259490,140100,194676.93006127654,-727325.1257748863,197.49512841224774,121.78230335482908
720575940627009086,R7,801476,377848,135600,316832.6476128587,-687331.108439422,454.30027860088506,251.6486751733711
720575940628178053,R1-6,808218,379202,79420,323296.3966821145,-651557.7720659651,467.8888693257603,367.80988407862253
720575940629048070,R1-6,861932,322872,152280,257157.79239278418,-734650.0652599081,328.84720555250095,97.99716302418693
720575940606482022,R1-6,863560,326584,115760,264329.0078394819,-709823.6853685376,343.92308654060645,178.61201736196676
720575940622017118,R1-6,858760,341824,143040,277072.1889845103,-727899.6982164392,370.7127826221522,119.91658334712113
720575940646095127,R1-6,846464,367036,115760,305488.3591327966,-702584.97182554,430.4514423343763,202.11716955954927
720575940607900850,R1-6,825808,393984,77400,337186.7674090391,-663751.9712957204,497.0902756307697,328.21355150923785
720575940630171959,R8,797572,291840,116560,233460.6588453775,-661465.6185954433,279.029267746092,335.63767015658425
720575940635357024,R7,801456,298796,95400,242223.8722930809,-649619.9964755458,297.4519694474862,374.10212232054425
720575940629228137,R1-6,885428,319664,125920,255222.26718864535,-731343.0069423798,324.778195515923,108.73566077217144
720575940628041861,R1-6,845876,386872,96920,327074.75505158753,-690772.4271267463,475.8320250616291,240.4742145422842
